Date,DO
2022-08-09,8
2022-08-10,8.1
2022-08-11,8.1
2022-08-12,8
2022-08-13,8.1
2022-08-14,8.1
2022-08-15,8.1
2022-08-16,8
2022-08-17,8.1
2022-08-18,8.2
2022-08-19,8.1
2022-08-20,8.2
2022-08-21,8.1
2022-08-22,7.8
2022-08-23,8
2022-08-24,8
2022-08-25,8.3
2022-08-26,8
2022-08-27,7.7
2022-08-28,7.7
2022-08-29,7.7
2022-08-30,7.7
2022-08-31,7.9
2022-09-01,7.8
2022-09-02,7.8
2022-09-03,7.7
2022-09-04,7.6
2022-09-05,7.5
2022-09-06,7.2
2022-09-07,7.2
2022-09-08,7.8
2022-09-09,7.6
2022-09-10,7.7
2022-09-11,7.6
2022-09-12,7.6
2022-09-13,7.6
2022-09-14,7.7
2022-09-15,7.7
2022-09-16,7.8
2022-09-17,7.7
2022-09-18,7.8
2022-09-19,7.7
2022-09-20,7.8
2022-09-21,7.7
2022-09-22,7.7
2022-09-23,8.3
2022-09-24,8.2
2022-09-25,7.9
2022-09-26,7.9
2022-09-27,8
2022-09-28,8.1
2022-09-29,8.4
2022-09-30,8.3
2022-10-01,8.3
2022-10-02,8.5
2022-10-03,8.7
2022-10-04,8.8
2022-10-05,9.3
2022-10-06,9.6
2022-10-07,9.7
2022-10-08,9.8
2022-10-09,9.9
2022-10-10,9.9
2022-10-11,9.9
2022-10-12,9.2
2022-10-13,9.1
2022-10-14,9.4
2022-10-15,9.3
2022-10-16,9.9
2022-10-17,9.4
2022-10-18,9.4
2022-10-19,9.4
2022-10-20,9.1
2022-10-21,9
2022-10-22,9.8
2022-10-23,9.8
2022-10-24,9.4
2022-10-25,9.3
2022-10-26,8.9
2022-10-27,9.9
2022-10-28,10.1
2022-10-29,10
2022-10-30,10.1
2022-10-31,9.8
2022-11-01,9.8
2022-11-02,9.8
2022-11-03,10
2022-11-04,10.1
2022-11-05,10
2022-11-06,9.9
2022-11-07,10
2022-11-08,10.2
2022-11-09,10.3
2022-11-10,10.2
2022-11-11,9.8
2022-11-12,10
2022-11-13,10.1
2022-11-14,10.2
2022-11-15,9.6
2022-11-16,9.7
2022-11-17,10.1
2022-11-18,9.7
2022-11-19,10.5
2022-11-20,10.7
2022-11-21,9.9
2022-11-22,10.3
2022-11-23,10.1
2022-11-24,10
2022-11-25,10
2022-11-26,11
2022-11-27,10.9
2022-11-28,10.5
2022-11-29,10.6
2022-11-30,10.7
2022-12-01,11
2022-12-02,11
2022-12-03,11.4
2022-12-04,11.6
2022-12-05,11.3
2022-12-06,11
2022-12-07,11.2
2022-12-08,11.5
2022-12-09,11.4
2022-12-10,11.7
2022-12-11,11.6
2022-12-12,11.5
2022-12-13,11.6
2022-12-14,11.7
2022-12-15,11.5
2022-12-16,11.4
2022-12-17,12
2022-12-18,12.1
2022-12-19,12.2
2022-12-20,12.1
2022-12-21,11.3
2022-12-22,11.9
2022-12-23,11.8
2022-12-24,11
2022-12-25,11.2
2022-12-26,11.8
2022-12-27,12.5
2022-12-28,12.4
2022-12-29,12.6
2022-12-30,12.6
2022-12-31,12.8
2023-01-01,12.9
2023-01-02,12.7
2023-01-03,12.8
2023-01-04,12.2
2023-01-05,12.2
2023-01-06,12.2
2023-01-07,12.2
2023-01-08,12.3
2023-01-09,12.3
2023-01-10,12.3
2023-01-11,12.2
2023-01-12,12.1
2023-01-13,12.1
2023-01-14,12.3
2023-01-15,12.3
2023-01-16,12.3
2023-01-17,12.3
2023-01-18,12.4
2023-01-19,12.4
2023-01-20,12.3
2023-01-21,12.4
2023-01-22,12.3
2023-01-23,12.4
2023-01-24,12.5
2023-01-25,12.4
2023-01-26,12.3
2023-01-27,12.5
2023-01-28,12.5
2023-01-29,12.5
2023-01-30,12.5
2023-01-31,12.8
2023-02-01,12.5
2023-02-02,12.4
2023-02-03,12.4
2023-02-04,12.6
2023-02-05,13.1
2023-02-06,13
2023-02-07,13
2023-02-08,12.9
2023-02-09,12.8
2023-02-10,12.9
2023-02-11,12.8
2023-02-12,12.8
2023-02-13,12.8
2023-02-14,12.9
2023-02-15,12.9
2023-02-16,12.8
2023-02-17,12.8
2023-02-18,12.9
2023-02-19,12.9
2023-02-20,12.8
2023-02-21,12.8
2023-02-22,12.8
2023-02-23,12.7
2023-02-24,12.7
2023-02-25,12.8
2023-02-26,12.7
2023-02-27,12.8
2023-02-28,12.8
2023-03-01,12.7
2023-03-02,12.7
2023-03-03,12.7
2023-03-04,12.6
2023-03-05,12.7
2023-03-06,12.7
2023-03-07,12.6
2023-03-08,12.6
2023-03-09,12.6
2023-03-10,12.6
2023-03-11,12.5
2023-03-12,12.7
2023-03-13,12.5
2023-03-14,12.6
2023-03-15,12.7
2023-03-16,12.7
2023-03-17,12.5
2023-03-18,12.6
2023-03-19,12.7
2023-03-20,12.6
2023-03-21,12.5
2023-03-22,12.4
2023-03-23,12.4
2023-03-24,12.6
2023-03-25,12.5
2023-03-26,12.5
2023-03-27,12.6
2023-03-28,12.7
2023-03-29,12.6
2023-03-30,12.6
2023-03-31,12.5
2023-04-01,12.3
2023-04-02,12.3
2023-04-03,12.3
2023-04-04,12.2
2023-04-05,12.1
2023-04-06,12.2
2023-04-07,12.2
2023-04-08,12.1
2023-04-09,12
2023-04-10,11.9
2023-04-11,11.9
2023-04-12,11.7
2023-04-13,11.7
2023-04-14,11.6
2023-04-15,11.4
2023-04-16,11.5
2023-04-17,11.3
2023-04-18,11.3
2023-04-19,11.3
2023-04-20,11.2
2023-04-21,11.1
2023-04-22,11
2023-04-23,10.9
2023-04-24,10.9
2023-04-25,10.9
