Date,Inflow 2019-2020 (cfs),Inflow 2020-2021 (cfs),Inflow 2021-2022 (cfs),Inflow 2022-2023 (cfs)
09-Aug,162.4,168.6,66.2,44.7
10-Aug,103.2,142.6,67.9,41.6
11-Aug,74.3,126.2,67,36.8
12-Aug,61.9,167.1,61.4,31.7
13-Aug,56.5,128.6,86.5,29.2
14-Aug,53.5,104,66.7,27.5
15-Aug,49.8,89.9,54.9,27.8
16-Aug,53.2,80.4,51.2,26.8
17-Aug,51.7,78.4,65.4,26.6
18-Aug,56.6,85.4,72.9,28
19-Aug,66.4,70.7,375.9,25.8
20-Aug,50.3,64.7,211.9,25.1
21-Aug,63.7,60,213.5,37.6
22-Aug,68.2,56.3,202.7,33
23-Aug,53.4,53.1,688.4,32.2
24-Aug,45.9,50.3,348.1,29.7
25-Aug,41.6,50,239.8,27.5
26-Aug,39,50.1,182.5,26.6
27-Aug,36.8,95.4,205.8,26.5
28-Aug,36.2,185.6,425.4,25.4
29-Aug,37,113.7,216.6,25.2
30-Aug,34,101,287.7,44.2
31-Aug,32.3,73,403.8,87.1
01-Sep,30.9,67.1,1530,46.6
02-Sep,40.1,242.9,3403.4,35.3
03-Sep,47.8,315.6,1152.5,29.5
04-Sep,37.3,185.6,628.1,28.9
05-Sep,33.4,137.5,459.5,100.4
06-Sep,30.9,106.1,386.8,1174.2
07-Sep,29.9,88.8,312.5,976.2
08-Sep,28.3,80.3,324.9,468.7
09-Sep,27.2,72.7,1316.5,250.6
10-Sep,27.1,79.4,604.9,165.5
11-Sep,27.2,86.9,397.6,127.2
12-Sep,45,64,307.9,128.6
13-Sep,40.1,59.9,258.3,229
14-Sep,37.1,58.8,230.5,229
15-Sep,52.1,53.2,229,140
16-Sep,39,50.7,623.4,107.1
17-Sep,33.7,52.6,386.8,91.4
18-Sep,30.2,49.8,315.6,83.4
19-Sep,28,46.3,252.2,82.1
20-Sep,27.1,43.2,210.4,85.2
21-Sep,26.1,41.9,190.3,78
22-Sep,25.5,41,177.9,123.5
23-Sep,25.7,42.5,558.5,119.7
24-Sep,25.4,39.4,1639.8,85.1
25-Sep,24.8,39,717.8,76
26-Sep,27.2,38.5,462.6,74.7
27-Sep,35.4,38.5,360.5,72.6
28-Sep,29.9,43.3,371.3,68.4
29-Sep,27.7,45.9,354.3,64.4
30-Sep,26,450.2,286.2,60.8
01-Oct,27.2,182.5,246,59.1
02-Oct,28,131.2,216.6,57.1
03-Oct,31.4,96.8,193.4,54.9
04-Oct,45.6,77,539.9,98.4
05-Oct,35.7,69.9,570.8,351.2
06-Oct,30.8,64,414.6,229
07-Oct,36.7,61,348.1,141.7
08-Oct,73.3,63.1,290.8,107.7
09-Oct,48.1,54.8,250.6,89.7
10-Oct,38.2,52.1,224.3,83.2
11-Oct,33.6,50.3,201.1,86.3
12-Oct,31.4,52.9,182.5,98.2
13-Oct,30.5,57.5,185.6,256.8
14-Oct,29.1,60,170.2,912.7
15-Oct,27.8,50.4,151.3,420.8
16-Oct,84.2,50.4,170.2,250.6
17-Oct,728.6,57.9,264.5,242.9
18-Oct,233.6,51.2,191.8,266.1
19-Oct,150.2,49.7,179.5,208.8
20-Oct,115.6,49.8,152.1,176.4
21-Oct,99.3,50.1,142,167.1
22-Oct,85.4,52.3,146.2,170.2
23-Oct,153.2,53.1,137.2,145.6
24-Oct,120.5,46.6,130.1,137.1
25-Oct,95.8,44.6,211.9,147.7
26-Oct,83.8,51.4,3233.2,141.9
27-Oct,263,60.2,2506.1,115.3
28-Oct,290.8,76.3,1126.2,98.2
29-Oct,185.6,194.9,696.2,89.1
30-Oct,156.2,439.3,620.3,85.2
31-Oct,306.3,278.5,518.2,84
01-Nov,1887.3,205.8,427,101.9
02-Nov,717.8,215,358.9,98.9
03-Nov,403.8,168.6,314,89
04-Nov,300.1,146.2,281.6,83.8
05-Nov,246,132.9,256.8,80.6
06-Nov,210.4,121.6,236.7,82
07-Nov,207.3,112,221.2,91.7
08-Nov,242.9,105.4,207.3,80.6
09-Nov,188.7,101.8,196.5,73.9
10-Nov,170.2,99.2,184.1,72.4
11-Nov,159.3,106.9,170.2,111.8
12-Nov,151.6,219.7,671.4,513.6
13-Nov,135.2,162.4,611.1,284.6
14-Nov,122.5,141.2,510.5,199.6
15-Nov,117.3,131.3,406.9,168.6
16-Nov,112.6,238.2,351.2,229
17-Nov,104.7,176.4,304.8,267.6
18-Nov,105.5,154.7,283.1,213.5
19-Nov,295.5,138.8,300.1,184.1
20-Nov,221.2,136.3,256.8,165.5
21-Nov,174.8,132.1,233.6,156.2
22-Nov,160.9,123,287.7,141.7
23-Nov,152.4,201.1,255.3,137.2
